seed	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5201	20	0.01	5000	f3	200	157.9793	-0.21010350000000003	0.21010350000000003	156.4786	159.23	False	0.013756999999999948	195.24366881915518	-0.023781655904224125	-0.1863218440957759	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0	5000	f1	20	59.73	1.9865	1.9865	56.7435	59.73	False	0.14932499999999999	59.73	1.9865	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0	5000	f2	80	140.3655	0.75456875	0.75456875	139.37	142.3565	False	0.03733125000000008	141.54147076023392	0.769268384502924	-0.014699634502924042	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0	5000	f3	200	206.0685	0.0303425	0.0303425	205.073	207.064	False	0.009954999999999927	207.04744774346793	0.035237238717339636	-0.004894738717339635	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0.001	5000	f1	20	57.739	1.88695	1.88695	56.7435	59.73	False	0.14932499999999999	59.73	1.9865	-0.09954999999999999	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0.001	5000	f2	80	138.3745	0.7296812500000002	0.7296812500000002	133.397	139.37	False	0.07466250000000016	141.54147076023392	0.769268384502924	-0.03958713450292386	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0.001	5000	f3	200	203.082	0.015409999999999969	0.015409999999999969	200.0955	205.073	False	0.024887500000000104	207.04744774346793	0.035237238717339636	-0.019827238717339667	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0.01	5000	f1	20	46.7885	1.3394249999999999	1.3394249999999999	44.7975	49.775	False	0.24887499999999996	59.73	1.9865	-0.6470749999999998	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0.01	5000	f2	80	112.4915	0.40614375	0.40614375	107.514	119.46	False	0.14932499999999999	141.54147076023392	0.769268384502924	-0.363124634502924	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	1	0.01	5000	f3	200	167.244	-0.16378	0.16378	160.2755	173.217	False	0.0647075000000001	207.04744774346793	0.035237238717339636	-0.19901723871733965	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0	5000	f1	20	32.0161	0.600805	0.600805	30.4153	32.2162	False	0.09004500000000011	32.176816871241456	0.6088408435620728	-0.008035843562072742	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0	5000	f2	80	75.4379	-0.057026250000000014	0.057026250000000014	75.0377	76.0382	False	0.01250625000000003	75.91064151165183	-0.0511169811043521	-0.005909268895647912	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0	5000	f3	200	188.6948	-0.05652600000000007	0.05652600000000007	188.2946	189.6953	False	0.007003500000000003	189.6819680349491	-0.05159015982525446	-0.004935840174745607	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0.001	5000	f1	20	31.4158	0.57079	0.57079	30.0151	31.816	False	0.09004499999999993	32.176816871241456	0.6088408435620728	-0.03805084356207278	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0.001	5000	f2	80	74.0372	-0.07453500000000002	0.07453500000000002	73.2368	74.6375	False	0.017508750000000007	75.91064151165183	-0.0511169811043521	-0.02341801889564792	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0.001	5000	f3	200	185.093	-0.07453500000000006	0.07453500000000006	183.8924	186.0935	False	0.011005499999999984	189.6819680349491	-0.05159015982525446	-0.022944840174745594	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0.01	5000	f1	20	25.4128	0.27064000000000005	0.27064000000000005	25.0126	26.2132	False	0.06003000000000007	32.176816871241456	0.6088408435620728	-0.3382008435620728	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0.01	5000	f2	80	60.8306	-0.23961750000000004	0.23961750000000004	59.6299	62.0312	False	0.030016249999999987	75.91064151165183	-0.0511169811043521	-0.18850051889564795	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	5	0.01	5000	f3	200	153.0769	-0.23461550000000003	0.23461550000000003	149.4751	156.6787	False	0.036017999999999974	189.6819680349491	-0.05159015982525446	-0.18302534017474556	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0	5000	f1	20	23.0616	0.15307999999999994	0.15307999999999994	21.861	23.1616	False	0.06502999999999996	23.177214762336273	0.15886073811681367	-0.005780738116813744	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0	5000	f2	80	90.8456	0.13557000000000005	0.13557000000000005	90.2453	91.0958	False	0.010631249999999958	91.24904713626613	0.1406130892033266	-0.0050430892033265454	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0	5000	f3	200	194.1475	-0.02926249999999996	0.02926249999999996	193.5972	194.4477	False	0.004252500000000055	194.85190435550678	-0.025740478222466123	-0.003522021777533837	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0.001	5000	f1	20	22.4113	0.12056500000000003	0.12056500000000003	21.5108	22.8115	False	0.06503499999999995	23.177214762336273	0.15886073811681367	-0.03829573811681364	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0.001	5000	f2	80	89.0947	0.11368375000000004	0.11368375000000004	88.6445	89.4949	False	0.010630000000000094	91.24904713626613	0.1406130892033266	-0.026929339203326564	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0.001	5000	f3	200	190.1955	-0.04902249999999995	0.04902249999999995	189.3451	190.6958	False	0.006753499999999945	194.85190435550678	-0.025740478222466123	-0.02328202177753383	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0.01	5000	f1	20	18.1591	-0.09204500000000007	0.09204500000000007	17.909	18.5093	False	0.030015000000000035	23.177214762336273	0.15886073811681367	-0.2509057381168137	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0.01	5000	f2	80	73.4869	-0.08141374999999992	0.08141374999999992	72.9366	74.3373	False	0.017508750000000007	91.24904713626613	0.1406130892033266	-0.22202683920332653	diagnostic_kmer_10_90_spread_not_sampling_CI
5202	20	0.01	5000	f3	200	157.229	-0.21385499999999993	0.21385499999999993	155.328	159.4801	False	0.02076049999999995	194.85190435550678	-0.025740478222466123	-0.18811452177753382	diagnostic_kmer_10_90_spread_not_sampling_CI
5203	1	0	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5203	1	0	5000	f2	80	42.8065	-0.46491875	0.46491875	41.811	43.802	False	0.024887499999999996	42.99861403508772	-0.4625173245614035	-0.0024014254385964938	diagnostic_kmer_10_90_spread_not_sampling_CI
5203	1	0	5000	f3	200	210.0505	0.0502525	0.0502525	208.0595	211.046	False	0.01493249999999989	210.88993586698336	0.054449679334916824	-0.004197179334916825	diagnostic_kmer_10_90_spread_not_sampling_CI
