seed	condition_id	family_id	estimated_copy_number	log_sampling_variance	sampling_interval_low	sampling_interval_high	minimum_effective_reads	positive_reads_by_k	fit_status	interval_status	warning	coverage	error_model	unit_substitution_rate	array_scope	period	truth_copies	truth_covered	relative_interval_width	signed_relative_error
6301	condition_001	f040	6.932520056403917	NA	NA	NA	1.0	2,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	421	20.0	NA	NA	-0.6533739971798042
6301	condition_001	f041	20.708039180708532	NA	NA	NA	1.9158969865904651	4,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	20.0	NA	NA	0.0354019590354266
6301	condition_001	f042	29.200236516947093	NA	NA	NA	2.7401523660790303	9,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	421	20.0	NA	NA	0.46001182584735467
6301	condition_001	f043	22.64382157431342	NA	NA	NA	1.1428808578162015	11,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	80.0	NA	NA	-0.7169522303210822
6301	condition_001	f044	90.17694099970748	NA	NA	NA	2.9914883459242927	7,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	421	80.0	NA	NA	0.12721176249634353
6301	condition_001	f045	62.8175537577467	NA	NA	NA	1.9480265618853811	2,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	80.0	NA	NA	-0.21478057802816625
6301	condition_001	f046	54.1199077751044	NA	NA	NA	2.007898780034822	15,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	421	80.0	NA	NA	-0.32350115281119496
6301	condition_001	f047	120.07968637420412	NA	NA	NA	5.313672041027025	7,6,6,6	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	80.0	NA	NA	0.5009960796775514
6301	condition_001	f048	51.03549340953417	NA	NA	NA	2.000944869641838	3,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	421	80.0	NA	NA	-0.3620563323808229
6301	condition_001	f049	318.47968191709646	NA	NA	NA	10.964952538711277	21,14,14,14	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	200.0	NA	NA	0.5923984095854823
