seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5401	0.03	1	500	20	0.001	5000	f1	20	9.6048	-0.51976	0.51976	7.2036	12.4563	False	0.26263500000000006	17.202082543866876	-0.13989587280665622	-0.37986412719334384	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0.001	5000	f2	80	33.917	-0.5760375	0.5760375	29.2147	37.6189	False	0.10505249999999995	68.59995209967968	-0.14250059875400395	-0.43353690124599603	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0.001	5000	f3	200	107.2038	-0.463981	0.463981	98.2994	115.1078	False	0.08404199999999996	207.49827987920602	0.03749139939603012	-0.5014723993960302	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0.01	5000	f1	20	8.1041	-0.594795	0.594795	6.2031	10.1051	False	0.1951	17.202082543866876	-0.13989587280665622	-0.45489912719334374	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0.01	5000	f2	80	28.1141	-0.64857375	0.64857375	24.0121	31.0156	False	0.08754374999999999	68.59995209967968	-0.14250059875400395	-0.5060731512459961	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0.01	5000	f3	200	88.7446	-0.556277	0.556277	81.4409	95.4479	False	0.07003500000000003	207.49827987920602	0.03749139939603012	-0.5937683993960301	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0	5000	f2	80	33.3465	-0.58316875	0.58316875	29.3045	37.3885	False	0.10105	67.43757894736844	-0.15703026315789453	-0.4261384868421055	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0	5000	f3	200	84.882	-0.5755899999999999	0.5755899999999999	74.777	94.987	False	0.10104999999999997	164.4978788598575	-0.17751060570071245	-0.3980793942992875	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0.001	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
