seed	unit_substitution_rate	array_fragments	fragment_gap_bp	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5403	0.03	1	500	0.5	f2	6840	0	0	0.0	NA	0	1
5403	0.03	1	500	0.5	f3	42100	248	248	0.005890736342042755	1.0	1	1
5403	0.03	1	500	0.25	f1	305	0	0	0.0	NA	0	1
5403	0.03	1	500	0.25	f2	3420	0	0	0.0	NA	0	1
5403	0.03	1	500	0.25	f3	21050	0	0	0.0	NA	0	1
5403	0.03	1	500	0	f1	0	0	0	NA	NA	0	0
5403	0.03	1	500	0	f2	0	0	0	NA	NA	0	0
5403	0.03	1	500	0	f3	0	0	0	NA	NA	0	0
5403	0.03	3	500	1	f1	1220	0	0	0.0	NA	0	3
5403	0.03	3	500	1	f2	13680	0	0	0.0	NA	0	3
5403	0.03	3	500	1	f3	84200	248	248	0.0029453681710213775	1.0	1	3
5403	0.03	3	500	0.75	f1	915	260	260	0.28415300546448086	1.0	1	3
5403	0.03	3	500	0.75	f2	10260	0	0	0.0	NA	0	3
5403	0.03	3	500	0.75	f3	63150	0	0	0.0	NA	0	3
5403	0.03	3	500	0.5	f1	610	158	158	0.25901639344262295	1.0	1	3
5403	0.03	3	500	0.5	f2	6840	0	0	0.0	NA	0	3
5403	0.03	3	500	0.5	f3	42100	248	248	0.005890736342042755	1.0	1	3
5403	0.03	3	500	0.25	f1	305	62	61	0.2	0.9838709677419355	1	3
5403	0.03	3	500	0.25	f2	3420	0	0	0.0	NA	0	3
5403	0.03	3	500	0.25	f3	21050	0	0	0.0	NA	0	3
5403	0.03	3	500	0	f1	0	0	0	NA	NA	0	0
5403	0.03	3	500	0	f2	0	0	0	NA	NA	0	0
5403	0.03	3	500	0	f3	0	0	0	NA	NA	0	0
5403	0.05	1	500	1	f1	1220	0	0	0.0	NA	0	1
5403	0.05	1	500	1	f2	13680	0	0	0.0	NA	0	1
5403	0.05	1	500	1	f3	84200	0	0	0.0	NA	0	1
5403	0.05	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5403	0.05	1	500	0.75	f2	10260	0	0	0.0	NA	0	1
5403	0.05	1	500	0.75	f3	63150	0	0	0.0	NA	0	1
5403	0.05	1	500	0.5	f1	610	0	0	0.0	NA	0	1
5403	0.05	1	500	0.5	f2	6840	0	0	0.0	NA	0	1
5403	0.05	1	500	0.5	f3	42100	0	0	0.0	NA	0	1
5403	0.05	1	500	0.25	f1	305	0	0	0.0	NA	0	1
5403	0.05	1	500	0.25	f2	3420	0	0	0.0	NA	0	1
5403	0.05	1	500	0.25	f3	21050	0	0	0.0	NA	0	1
5403	0.05	1	500	0	f1	0	0	0	NA	NA	0	0
5403	0.05	1	500	0	f2	0	0	0	NA	NA	0	0
5403	0.05	1	500	0	f3	0	0	0	NA	NA	0	0
5403	0.05	3	500	1	f1	1220	0	0	0.0	NA	0	3
5403	0.05	3	500	1	f2	13680	0	0	0.0	NA	0	3
5403	0.05	3	500	1	f3	84200	0	0	0.0	NA	0	3
