seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_002	f023	21	171	9992947	9992947	37.345029239767	37.371387279215035
6301	condition_002	f023	27	171	9988615	9988615	36.573099415205576	36.614785348324645
6301	condition_002	f023	31	171	9985727	9985727	36.058479532164625	36.110019362801154
6301	condition_002	f024	15	171	9997279	9997279	14.596491228070517	14.600464014328818
6301	condition_002	f024	21	171	9992947	9992947	12.918128654971056	12.927246241745358
6301	condition_002	f024	27	171	9988615	9988615	11.444444444444699	11.457488795438305
6301	condition_002	f024	31	171	9985727	9985727	10.520467836257538	10.535505162776369
6301	condition_002	f025	15	171	9997279	9997279	89.33918128655203	89.36349709411134
6301	condition_002	f025	21	171	9992947	9992947	87.69005847953444	87.75194992981994
6301	condition_002	f025	27	171	9988615	9988615	86.0526315789496	86.15071416702877
6301	condition_002	f025	31	171	9985727	9985727	84.9766081871367	85.09806866053589
6301	condition_002	f026	15	171	9997279	9997279	36.84210526315887	36.85213272847429
6301	condition_002	f026	21	171	9992947	9992947	32.824561403509634	32.84772890670754
6301	condition_002	f026	27	171	9988615	9988615	29.163742690059237	29.19698345572358
6301	condition_002	f026	31	171	9985727	9985727	26.87134502924046	26.909753320154316
6301	condition_002	f027	15	171	9997279	9997279	0.017543859649122806	0.01754863463260634
6301	condition_002	f027	21	171	9992947	9992947	0.0	0.0
6301	condition_002	f027	27	171	9988615	9988615	0.0	0.0
6301	condition_002	f027	31	171	9985727	9985727	0.0	0.0
6301	condition_002	f028	15	171	9997279	9997279	25.269005847953864	25.275883415831313
6301	condition_002	f028	21	171	9992947	9992947	22.076023391813422	22.09160460053818
6301	condition_002	f028	27	171	9988615	9988615	19.34502923976656	19.36707865881963
6301	condition_002	f028	31	171	9985727	9985727	17.637426900585226	17.662636782064265
6301	condition_002	f029	15	170	9997279	9997279	65.6235294117775	65.64139043411461
6301	condition_002	f029	21	171	9992947	9992947	64.52046783625907	64.56600624046047
6301	condition_002	f029	27	171	9988615	9988615	63.43274853801343	63.5050490363413
6301	condition_002	f029	31	171	9985727	9985727	62.72514619883212	62.81480176539186
6301	condition_002	f030	15	171	9997279	9997279	121.06432748538327	121.09727805474196
6301	condition_002	f030	21	171	9992947	9992947	106.88304093567527	106.95847875073815
6301	condition_002	f030	27	171	9988615	9988615	94.3859649122831	94.49354581419256
6301	condition_002	f030	31	171	9985727	9985727	86.76023391813084	86.8842437993056
6301	condition_002	f031	15	171	9997279	9997279	85.82456140351107	85.84792062271251
6301	condition_002	f031	21	171	9992947	9992947	84.38596491228296	84.44552434060039
6301	condition_002	f031	27	171	9988615	9988615	83.04093567251684	83.13558553665031
6301	condition_002	f031	31	171	9985727	9985727	82.17543859649342	82.29289524587786
6301	condition_002	f032	15	171	9997279	9997279	0.017543859649122806	0.01754863463260634
