dataset_id	scenario	seed	read_id	read_length	truth_array_count	screen_status	candidate_period_count	best_period	periodicity_score	repeat_start	repeat_end	repeat_span	repeat_span_fraction	unit_span_residual_fraction	shifted_identity	valid_pair_fraction	composition_adjusted_identity	maximum_truth_iou	minimum_truth_period_error_bp
at_rich_control_s1201	at_rich_control	1201	r0000070	5000	0	rejected_score	5	30	0.6461720819969321	4122	4223	101	0.0202	0.36666666666666664	0.6901408450704225	1.0	0.41767257932265656	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000071	5000	0	rejected_score	5	57	0.5152542372881356	957	1073	116	0.0232	0.03508771929824561	0.6440677966101694	1.0	0.3402997618714105	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000072	5000	0	rejected_score	5	44	0.537313432835821	2272	2383	111	0.0222	0.4772727272727273	0.6716417910447762	1.0	0.4267920809666601	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000073	5000	0	rejected_score	5	57	0.5379310344827587	3759	3874	115	0.023	0.017543859649122806	0.6724137931034483	1.0	0.41988114807084936	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000074	5000	0	rejected_score	5	57	0.5103448275862069	312	427	115	0.023	0.017543859649122806	0.6379310344827587	1.0	0.3671210588203123	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000075	5000	0	rejected_score	5	48	0.5076923076923077	2910	3010	100	0.02	0.08333333333333333	0.6346153846153846	1.0	0.35284340172756745	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000076	5000	0	rejected_score	5	53	0.5381818181818182	701	809	108	0.0216	0.03773584905660377	0.6727272727272727	1.0	0.38707304256437197	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000077	5000	0	rejected_score	5	49	0.5490196078431373	3777	3877	100	0.02	0.04081632653061224	0.6862745098039216	1.0	0.40514696587774285	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000078	5000	0	rejected_score	5	56	0.5052631578947369	2341	2454	113	0.0226	0.017857142857142856	0.631578947368421	1.0	0.3557424786287822	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000079	5000	0	rejected_score	5	45	0.6381438910174544	2605	2708	103	0.0206	0.28888888888888886	0.6896551724137931	1.0	0.4440310240016771	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000080	5000	0	rejected_score	5	39	0.5245901639344263	1256	1356	100	0.02	0.4358974358974359	0.6557377049180327	1.0	0.3919775784493689	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000081	5000	0	rejected_score	5	69	0.6277355601948504	48	192	144	0.0288	0.08695652173913043	0.6933333333333334	1.0	0.462464919695689	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000082	5000	0	rejected_score	5	37	0.5079365079365079	4676	4776	100	0.02	0.2972972972972973	0.6349206349206349	1.0	0.36130272029502253	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000083	5000	0	rejected_score	5	50	0.5230769230769231	4319	4421	102	0.0204	0.04	0.6538461538461539	1.0	0.36483516483516476	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000084	5000	0	rejected_score	5	41	0.5419354838709677	3443	3546	103	0.0206	0.4878048780487805	0.6774193548387096	1.0	0.3875701387766412	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000085	5000	0	rejected_score	5	41	0.6483853311439518	3440	3544	104	0.0208	0.4634146341463415	0.6984126984126984	1.0	0.4541552453199039	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000086	5000	0	rejected_score	5	72	0.5157894736842106	996	1144	148	0.0296	0.05555555555555555	0.6447368421052632	1.0	0.3311256480551559	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000087	5000	0	rejected_score	5	44	0.6584975369458129	2675	2775	100	0.02	0.2727272727272727	0.7142857142857143	1.0	0.48575542528026333	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000088	5000	0	rejected_score	5	47	0.5185185185185185	3994	4095	101	0.0202	0.14893617021276595	0.6481481481481481	1.0	0.40099453592444245	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000089	5000	0	rejected_score	5	41	0.5245901639344263	2770	2872	102	0.0204	0.4878048780487805	0.6557377049180327	1.0	0.29962750918404635	0.0	NA
