[M::mm_idx_gen::0.003*0.92] collected minimizers
[M::mm_idx_gen::0.004*1.81] sorted minimizers
[M::main::0.004*1.81] loaded/built the index for 22 target sequence(s)
[M::mm_mapopt_update::0.004*1.79] mid_occ = 50
[M::worker_pipeline::583.979*3.97] mapped 2248 sequences
[M::worker_pipeline::586.362*3.97] mapped 2243 sequences
[M::worker_pipeline::588.586*3.97] mapped 2258 sequences
[M::worker_pipeline::590.710*3.97] mapped 2225 sequences
[M::worker_pipeline::592.794*3.97] mapped 2243 sequences
[M::worker_pipeline::594.832*3.97] mapped 2250 sequences
[M::worker_pipeline::597.204*3.97] mapped 2256 sequences
[M::worker_pipeline::599.566*3.97] mapped 2234 sequences
[M::worker_pipeline::601.926*3.97] mapped 2242 sequences
[M::worker_pipeline::604.013*3.97] mapped 2230 sequences
[M::worker_pipeline::606.087*3.97] mapped 2246 sequences
[M::worker_pipeline::608.448*3.97] mapped 2232 sequences
[M::worker_pipeline::610.610*3.97] mapped 2261 sequences
[M::worker_pipeline::612.782*3.97] mapped 2262 sequences
[M::worker_pipeline::614.987*3.97] mapped 2240 sequences
[M::worker_pipeline::617.059*3.97] mapped 2248 sequences
[M::worker_pipeline::619.380*3.97] mapped 2249 sequences
[M::worker_pipeline::621.639*3.97] mapped 2241 sequences
[M::worker_pipeline::623.692*3.97] mapped 2235 sequences
[M::worker_pipeline::626.293*3.97] mapped 2245 sequences
[M::worker_pipeline::628.708*3.97] mapped 2234 sequences
[M::worker_pipeline::631.839*3.97] mapped 2238 sequences
[M::worker_pipeline::634.162*3.97] mapped 2246 sequences
[M::worker_pipeline::636.588*3.97] mapped 2233 sequences
[M::worker_pipeline::638.937*3.97] mapped 2234 sequences
[M::worker_pipeline::641.020*3.97] mapped 2240 sequences
[M::worker_pipeline::643.218*3.97] mapped 2255 sequences
[M::worker_pipeline::645.614*3.97] mapped 2243 sequences
[M::worker_pipeline::648.137*3.97] mapped 2251 sequences
[M::worker_pipeline::650.819*3.96] mapped 2242 sequences
[M::worker_pipeline::653.393*3.96] mapped 2244 sequences
[M::worker_pipeline::655.587*3.96] mapped 2231 sequences
[M::worker_pipeline::657.780*3.96] mapped 2239 sequences
[M::worker_pipeline::659.979*3.96] mapped 2227 sequences
[M::worker_pipeline::662.120*3.96] mapped 2250 sequences
[M::worker_pipeline::664.405*3.96] mapped 2267 sequences
[M::worker_pipeline::666.579*3.96] mapped 2244 sequences
[M::worker_pipeline::668.938*3.96] mapped 2245 sequences
[M::worker_pipeline::671.085*3.96] mapped 2237 sequences
[M::worker_pipeline::673.168*3.97] mapped 2235 sequences
[M::worker_pipeline::675.368*3.97] mapped 2252 sequences
[M::worker_pipeline::677.337*3.97] mapped 2256 sequences
[M::worker_pipeline::679.361*3.97] mapped 2244 sequences
[M::worker_pipeline::681.264*3.97] mapped 2237 sequences
[M::worker_pipeline::683.540*3.97] mapped 2258 sequences
[M::worker_pipeline::685.511*3.97] mapped 2236 sequences
[M::worker_pipeline::687.617*3.97] mapped 2264 sequences
[M::worker_pipeline::689.637*3.97] mapped 2247 sequences
[M::worker_pipeline::691.797*3.97] mapped 2244 sequences
[M::worker_pipeline::694.000*3.97] mapped 2248 sequences
[M::worker_pipeline::696.024*3.97] mapped 2266 sequences
[M::worker_pipeline::698.258*3.97] mapped 2246 sequences
[M::worker_pipeline::700.910*3.97] mapped 2266 sequences
[M::worker_pipeline::703.274*3.96] mapped 2263 sequences
[M::worker_pipeline::705.829*3.96] mapped 2251 sequences
[M::worker_pipeline::708.178*3.96] mapped 2263 sequences
[M::worker_pipeline::711.195*3.96] mapped 2242 sequences
[M::worker_pipeline::713.573*3.96] mapped 2256 sequences
[M::worker_pipeline::715.980*3.96] mapped 2254 sequences
[M::worker_pipeline::718.488*3.96] mapped 2247 sequences
[M::worker_pipeline::721.125*3.96] mapped 2260 sequences
[M::worker_pipeline::723.704*3.96] mapped 2292 sequences
[M::worker_pipeline::725.705*3.96] mapped 2283 sequences
[M::worker_pipeline::727.809*3.96] mapped 2279 sequences
[M::worker_pipeline::730.353*3.96] mapped 2268 sequences
[M::worker_pipeline::732.445*3.96] mapped 2250 sequences
