seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_001	f039	21	421	9992708	9992708	0.0	0.0
6301	condition_001	f039	27	421	9988376	9988376	0.0	0.0
6301	condition_001	f039	31	421	9985488	9985488	0.0	0.0
6301	condition_001	f040	15	421	9997040	9997040	4.771971496437055	4.7733844182248495
6301	condition_001	f040	21	421	9992708	9992708	4.130641330166271	4.133655591823829
6301	condition_001	f040	27	421	9988376	9988376	3.5510688836104514	3.5552014497756703
6301	condition_001	f040	31	421	9985488	9985488	3.209026128266033	3.2136898349545193
6301	condition_001	f041	15	421	9997040	9997040	20.648456057007127	20.65456980967079
6301	condition_001	f041	21	421	9992708	9992708	20.612826603325416	20.62786844499551
6301	condition_001	f041	27	421	9988376	9988376	20.58432304038005	20.608278102846796
6301	condition_001	f041	31	421	9985488	9985488	20.565320665083135	20.595208431559012
6301	condition_001	f042	15	420	9997040	9997040	21.142857142857142	21.14911728157249
6301	condition_001	f042	21	421	9992708	9992708	18.489311163895486	18.502803408140704
6301	condition_001	f042	27	421	9988376	9988376	16.251781472684087	16.270694528003435
6301	condition_001	f042	31	421	9985488	9985488	14.942992874109263	14.96470966076897
6301	condition_001	f043	15	420	9997040	9997040	22.576190476190476	22.582875007192605
6301	condition_001	f043	21	421	9992708	9992708	22.524940617577197	22.54137779026186
6301	condition_001	f043	27	421	9988376	9988376	22.49643705463183	22.522617345033698
6301	condition_001	f043	31	421	9985488	9985488	22.477434679334916	22.510101338397195
6301	condition_001	f044	15	421	9997040	9997040	68.90023752969121	68.92063803855062
6301	condition_001	f044	21	421	9992708	9992708	61.93586698337292	61.98106357493175
6301	condition_001	f044	27	421	9988376	9988376	55.5938242280285	55.65852169364519
6301	condition_001	f044	31	421	9985488	9985488	51.69121140142518	51.76633470635103
6301	condition_001	f045	15	421	9997040	9997040	62.795724465558195	62.81431750353924
6301	condition_001	f045	21	421	9992708	9992708	62.76722090261283	62.81302415983018
6301	condition_001	f045	27	421	9988376	9988376	62.73871733966746	62.81172969426407
6301	condition_001	f045	31	421	9985488	9985488	62.719714964370546	62.81086609324507
6301	condition_001	f046	15	421	9997040	9997040	40.220902612826606	40.23281152503802
6301	condition_001	f046	21	421	9992708	9992708	35.648456057007124	35.674469880443944
6301	condition_001	f046	27	421	9988376	9988376	31.672209026128264	31.709067646360392
6301	condition_001	f046	31	421	9985488	9985488	29.256532066508314	29.299050849100524
6301	condition_001	f047	15	421	9997040	9997040	119.95724465558195	119.99276251328588
6301	condition_001	f047	21	421	9992708	9992708	119.86698337292161	119.95445416089574
6301	condition_001	f047	27	421	9988376	9988376	119.78147268408551	119.92086870186456
6301	condition_001	f047	31	421	9985488	9985488	119.72446555819478	119.89846220654893
6301	condition_001	f048	15	421	9997040	9997040	36.819477434679335	36.8303792269305
6301	condition_001	f048	21	421	9992708	9992708	32.37054631828978	32.39416814570163
6301	condition_001	f048	27	421	9988376	9988376	28.410926365795724	28.443989659375784
6301	condition_001	f048	31	421	9985488	9985488	25.985748218527316	26.023513541378566
6301	condition_001	f049	15	421	9997040	9997040	318.2209026128266	318.3151238894979
6301	condition_001	f049	21	421	9992708	9992708	318.0047505938242	318.23680887485574
6301	condition_001	f049	27	421	9988376	9988376	317.80522565320666	318.17507235731483
6301	condition_001	f049	31	421	9985488	9985488	317.67220902612826	318.133884919924
6301	condition_001	f050	15	421	9997040	9997040	123.87173396674584	123.90841085635931
6301	condition_001	f050	21	421	9992708	9992708	110.33491686460808	110.4154317974748
6301	condition_001	f050	27	421	9988376	9988376	98.26128266033254	98.37563449787287
6301	condition_001	f050	31	421	9985488	9985488	90.91923990498812	91.05137365844125
6301	condition_001	f051	15	421	9997040	9997040	41.57007125890736	41.58237964328177
6301	condition_001	f051	21	421	9992708	9992708	41.534441805225654	41.56475082152471
6301	condition_001	f051	27	421	9988376	9988376	41.50593824228029	41.55424089189302
6301	condition_001	f051	31	421	9985488	9985488	41.48693586698337	41.54722920600713
6301	condition_001	f052	15	421	9997040	9997040	176.6817102137767	176.7340234847282
6301	condition_001	f052	21	421	9992708	9992708	157.56532066508314	157.6803011406749
6301	condition_001	f052	27	421	9988376	9988376	140.42992874109262	140.59335445631265
6301	condition_001	f052	31	421	9985488	9985488	129.8978622327791	130.0866439705091
6301	condition_001	f053	15	421	9997040	9997040	230.56769596199524	230.6359642074006
6301	condition_001	f053	21	421	9992708	9992708	230.46793349168647	230.63611334553806
6301	condition_001	f053	27	421	9988376	9988376	230.36817102137766	230.63626261303907
6301	condition_001	f053	31	421	9985488	9985488	230.3016627078385	230.63636219665827
6301	condition_001	f054	15	421	9997040	9997040	200.95486935866984	201.014369612075
6301	condition_001	f054	21	421	9992708	9992708	177.6603325415677	177.78997699279086
6301	condition_001	f054	27	421	9988376	9988376	157.17102137767222	157.35392958542232
6301	condition_001	f054	31	421	9985488	9985488	145.12114014251782	145.33204600768417
6301	condition_001	megabase_171	15	171	9997040	9997040	4142.304093567252	4143.530578618523
6301	condition_001	megabase_171	21	171	9992708	9992708	3891.5146198830407	3894.3543830991966
6301	condition_001	megabase_171	27	171	9988376	9988376	3656.9005847953217	3661.156312893429
6301	condition_001	megabase_171	31	171	9985488	9985488	3508.9824561403507	3514.082092072366
6301	condition_002	f001	15	61	9997279	9997279	55.721311475409834	55.73647737090245
6301	condition_002	f001	21	61	9992947	9992947	53.75409836065574	53.79203788497601
6301	condition_002	f001	27	61	9988615	9988615	51.98360655737705	52.04285735047056
6301	condition_002	f001	31	61	9985727	9985727	50.81967213114754	50.89231072624711
6301	condition_002	f002	15	61	9997279	9997279	0.11475409836065574	0.11478533144934311
6301	condition_002	f002	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f002	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f002	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f003	15	61	9997279	9997279	100.49180327868852	100.51915454063904
6301	condition_002	f003	21	61	9992947	9992947	97.63934426229508	97.70825789658954
6301	condition_002	f003	27	61	9988615	9988615	94.78688524590164	94.89492311586906
6301	condition_002	f003	31	61	9985727	9985727	92.88524590163935	93.01801050803748
6301	condition_002	f004	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f004	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f004	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f004	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f005	15	61	9997279	9997279	19.327868852459016	19.33312939696793
6301	condition_002	f005	21	61	9992947	9992947	19.016393442622952	19.029815171263245
6301	condition_002	f005	27	61	9988615	9988615	18.721311475409838	18.742649982414818
6301	condition_002	f005	31	61	9985727	9985727	18.524590163934427	18.551068103438464
6301	condition_002	f006	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f006	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f006	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f006	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f007	15	61	9997279	9997279	64.19672131147541	64.2141939936611
6301	condition_002	f007	21	61	9992947	9992947	62.22950819672131	62.273429646651095
6301	condition_002	f007	27	61	9988615	9988615	60.36065573770492	60.42945467184882
