seed	condition_id	family_id	monomer_length	extrapolated_copy_number	uncorrected_mean_k21	log_slope_per_base	effective_word_loss_probability	max_absolute_log_residual	leave_one_k_out_log_range	status	warning
6301	condition_002	f020	171	38.93522598361566	21.705367275071268	-0.027584867625564228	0.02720787950735329	0.005057603172494485	0.02546305744674271	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f021	171	39.18969981042134	36.13074617317068	-0.0038731264171689523	0.003865635537209577	0.00013834273483510906	0.0008034672163015344	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f022	171	54.66807356279531	35.48116521670453	-0.02062768754454769	0.020416392137008233	0.0009035621159108054	0.0031730596019663437	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f023	171	40.13645284314281	37.37138727921411	-0.0034056081135818424	0.003399815607804175	0.00014074680825242047	0.0010855351000271796	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f024	171	19.81947541403283	12.927246241745062	-0.020349735977913827	0.02014407749516639	0.001421369834876729	0.005046047902888873	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f025	171	93.56301871634167	87.75194992981767	-0.0030575729719985725	0.003052903356201768	8.790970656143149e-05	0.0004883073731960508	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f026	171	49.53290477522665	32.84772890670668	-0.019629770968071884	0.019438361501349262	0.0016254938045315859	0.012147672537761611	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f027	171	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f028	171	35.33607365881245	22.09160460053762	-0.022335563025353437	0.02208797113157664	0.0017304910908102489	0.0035170088059546245	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f029	171	68.40776500044751	64.5660062404587	-0.0027525607105148954	0.002748775888729352	4.778727866086574e-05	0.0001402849474994028	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
