panel	sample_id	category	metric	value	count
F	morex_100mb	92	period_bp	54	NA
F	morex_100mb	93	period_bp	57	NA
F	morex_100mb	94	period_bp	45	NA
F	morex_100mb	95	period_bp	48	NA
F	morex_100mb	96	period_bp	48	NA
F	morex_100mb	97	period_bp	45	NA
F	morex_100mb	98	period_bp	56	NA
F	morex_100mb	99	period_bp	48	NA
F	morex_100mb	100	period_bp	55	NA
F	morex_100mb	101	period_bp	42	NA
F	morex_100mb	102	period_bp	68	NA
F	morex_100mb	103	period_bp	45	NA
F	morex_100mb	104	period_bp	48	NA
F	morex_100mb	105	period_bp	49	NA
F	morex_100mb	106	period_bp	51	NA
F	morex_100mb	107	period_bp	53	NA
F	morex_100mb	108	period_bp	245	NA
F	morex_100mb	109	period_bp	99	NA
F	morex_100mb	110	period_bp	49	NA
F	morex_100mb	111	period_bp	141	NA
F	morex_100mb	112	period_bp	48	NA
F	morex_100mb	113	period_bp	45	NA
F	morex_100mb	114	period_bp	69	NA
F	morex_100mb	115	period_bp	55	NA
F	morex_100mb	116	period_bp	59	NA
F	morex_100mb	117	period_bp	60	NA
F	morex_100mb	118	period_bp	134	NA
F	morex_100mb	119	period_bp	132	NA
F	morex_100mb	120	period_bp	51	NA
F	morex_100mb	121	period_bp	42	NA
F	morex_100mb	122	period_bp	48	NA
F	morex_100mb	123	period_bp	75	NA
F	morex_100mb	124	period_bp	54	NA
F	morex_100mb	125	period_bp	84	NA
F	morex_100mb	126	period_bp	54	NA
F	morex_100mb	127	period_bp	48	NA
F	morex_100mb	128	period_bp	65	NA
F	morex_100mb	129	period_bp	68	NA
F	morex_100mb	130	period_bp	57	NA
F	morex_100mb	131	period_bp	51	NA
F	morex_100mb	132	period_bp	45	NA
F	morex_100mb	133	period_bp	68	NA
F	morex_100mb	134	period_bp	45	NA
F	morex_100mb	135	period_bp	51	NA
F	morex_100mb	136	period_bp	139	NA
F	morex_100mb	137	period_bp	43	NA
F	morex_100mb	138	period_bp	45	NA
F	morex_100mb	139	period_bp	57	NA
F	morex_100mb	140	period_bp	99	NA
F	morex_100mb	141	period_bp	191	NA
F	morex_100mb	142	period_bp	51	NA
F	morex_100mb	143	period_bp	45	NA
F	morex_100mb	144	period_bp	85	NA
F	morex_100mb	145	period_bp	48	NA
F	morex_100mb	146	period_bp	51	NA
F	morex_100mb	147	period_bp	48	NA
F	morex_100mb	148	period_bp	85	NA
F	morex_100mb	149	period_bp	42	NA
F	morex_100mb	150	period_bp	48	NA
F	morex_100mb	151	period_bp	45	NA
F	morex_100mb	152	period_bp	195	NA
F	morex_100mb	153	period_bp	48	NA
F	morex_100mb	154	period_bp	45	NA
F	morex_100mb	155	period_bp	54	NA
F	morex_100mb	156	period_bp	42	NA
F	morex_100mb	157	period_bp	112	NA
