read_id	start	end	period	sequence	family_id
r000002065	0	11712	421		
r000002070	0	7456	421		
r000002071	0	15700	171		
r000002076	0	12924	171		
r000002080	0	18274	171		
r000002082	0	12766	171		
r000002087	0	10949	171		
r000002091	0	4030	421		
r000002095	0	6908	171		
r000002097	0	12439	171		
r000002106	0	11955	171		
r000002108	0	12634	171		
r000002111	0	14405	171		
r000002117	0	14443	171		
r000002118	0	10594	171		
r000002119	0	10209	421		
r000002130	0	14512	171		
r000002131	0	12240	171		
r000002132	0	11010	421		
r000002138	0	13296	171		
r000002139	0	7327	421		
r000002144	0	12506	171		
r000002145	0	20347	171		
r000002148	0	10737	421		
r000002149	0	15203	171		
r000002158	0	12784	171		
r000002159	733	15854	421		
r000002163	0	12197	171		
r000002164	3586	7006	171		
r000002165	11954	19041	421		
r000002167	0	12779	171		
r000002169	0	10711	421		
r000002174	0	17646	171		
r000002175	0	12055	171		
r000002180	0	10856	421		
r000002184	0	11886	421		
r000002192	1	14625	171		
r000002194	0	16710	171		
r000002198	0	12457	421		
r000002200	0	13302	421		
r000002202	0	14460	171		
r000002205	0	12035	171		
r000002206	13216	14296	171		
r000002209	0	1476	171		
r000002210	0	12578	171		
r000002211	0	10257	171		
r000002212	12452	14673	61		
r000002213	0	7057	171		
r000002214	0	14959	421		
r000002220	2	15128	171		
r000002224	0	15029	421		
r000002231	0	11108	171		
r000002234	0	14877	421		
r000002235	0	11403	171		
r000002237	0	14680	171		
r000002241	0	18714	421		
r000002242	1	9552	171		
r000002250	0	12169	171		
r000002251	0	12556	171		
r000002261	483	5369	61		
r000002263	0	15715	171		
r000002268	0	12974	171		
r000002286	0	5602	421		
r000002288	0	10502	171		
r000002290	0	11075	171		
r000002291	0	1449	421		
r000002299	12952	17145	61		
r000002303	0	17961	421		
r000002305	2	16675	171		
r000002310	15596	17456	421		
r000002313	0	11305	171		
r000002315	0	11556	421		
r000002316	0	4861	61		
r000002317	0	12387	421		
r000002322	0	11637	421		
r000002327	0	11758	171		
r000002330	13235	15989	421		
r000002334	0	4479	421		
r000002337	0	16812	421		
r000002342	9238	14118	61		
r000002346	0	14509	171		
r000002353	4095	5325	61		
r000002355	0	11478	61		
r000002356	0	16191	421		
r000002357	0	14731	171		
r000002365	0	17796	421		
r000002372	0	10636	421		
r000002373	0	10454	171		
r000002379	0	10607	171		
r000002383	0	19262	171		
r000002393	0	14944	421		
r000002399	0	16583	171		
r000002400	0	8403	421		
r000002401	0	14547	171		
r000002407	0	13003	421		
r000002415	0	14371	421		
r000002420	0	16351	171		
r000002423	0	15256	421		
r000002431	0	12684	421		
r000002432	2	13689	171		
r000002433	0	846	61		
r000002435	0	11247	171		
r000002448	0	12034	171		
r000002450	0	15723	421		
r000002451	0	15446	171		
r000002452	0	3589	421		
r000002453	0	5548	421		
r000002455	0	13105	421		
r000002456	0	11552	421		
r000002459	0	12726	171		
r000002461	0	12706	421		
r000002466	0	14273	171		
r000002469	5954	10834	61		
r000002470	10485	13600	61		
r000002473	0	13462	171		
r000002483	0	15401	171		
r000002484	12409	13629	61		
r000002492	710	5596	61		
r000002496	7850	11669	171		
r000002502	0	13997	421		
r000002505	0	4754	61		
r000002508	0	1639	61		
r000002509	0	11628	171		
r000002512	0	13517	171		
r000002521	0	13565	421		
r000002528	0	12501	171		
r000002529	2447	16170	171		
r000002533	0	6823	171		
r000002541	0	2970	61		
r000002542	1486	11608	421		
r000002545	0	11094	171		
r000002548	0	15894	171		
r000002551	2574	5994	171		
r000002553	4391	15021	61		
r000002555	0	16457	171		
r000002558	0	13081	171		
r000002563	0	15879	421		
r000002567	0	7447	61		
r000002568	0	15875	171		
r000002572	1	14154	171		
r000002575	0	11302	421		
r000002576	8544	18878	61		
r000002578	0	10642	171		
r000002581	0	11497	171		
r000002582	0	14152	171		
r000002596	4828	11597	421		
r000002599	1481	13438	421		
r000002601	0	2049	61		
r000002602	0	11987	421		
r000002604	0	12574	171		
r000002605	0	11300	171		
r000002607	0	15668	171		
r000002612	1	13213	421		
r000002616	0	11432	421		
r000002622	0	8545	421		
r000002623	9655	14534	61		
r000002624	5020	13111	171		
r000002629	0	21766	171		
r000002631	0	13423	421		
r000002632	0	15020	171		
r000002633	0	9534	421		
r000002640	0	12737	421		
r000002641	0	155	61		
r000002644	15548	17426	171		
r000002647	0	4198	171		
r000002649	0	15347	171		
r000002650	0	20413	421		
r000002651	14932	16362	171		
r000002657	438	1668	61		
r000002662	10240	14517	171		
r000002663	0	14109	421		
r000002664	0	13116	421		
r000002667	5192	13611	421		
r000002669	0	6656	171		
r000002670	0	8961	171		
r000002679	0	17241	171		
r000002683	0	11003	171		
r000002686	0	14515	171		
r000002693	0	15073	421		
r000002707	0	11448	421		
r000002711	0	16767	171		
r000002712	2106	11862	421		
r000002719	0	19491	171		
r000002723	0	13896	421		
r000002724	8289	11710	171		
r000002730	776	9198	421		
r000002733	0	16927	171		
r000002734	3433	12342	171		
r000002737	0	14033	171		
r000002738	0	7689	171		
r000002744	0	9672	171		
r000002752	0	10936	421		
r000002756	7084	15085	171		
r000002759	0	15971	171		
r000002764	939	9359	421		
r000002770	0	2259	421		
r000002774	979	13773	421		
r000002779	10239	11341	171		
r000002780	11731	12672	421		
r000002788	0	15139	171		
r000002790	0	6795	421		
r000002791	0	12623	171		
r000002792	0	13094	421		
r000002797	0	11482	171		
r000002798	0	14259	171		
r000002800	5830	7050	61		
r000002802	0	13508	171		
r000002805	0	4514	421		
r000002813	0	14705	171		
r000002820	0	11695	171		
r000002821	0	15058	421		
r000002825	0	9100	61		
r000002827	0	13816	421		
r000002830	0	13371	171		
r000002833	0	12211	171		
r000002845	6666	10086	171		
r000002847	6550	16662	421		
r000002848	0	11211	171		
r000002852	18332	19306	171		
r000002855	7935	11353	61		
r000002857	0	15262	171		
r000002858	0	9513	171		
r000002860	3592	14371	171		
r000002867	11169	16048	61		
r000002869	2189	11009	171		
r000002871	0	13838	171		
r000002876	15927	16899	61		
r000002878	2	18871	171		
r000002887	0	12187	421		
r000002904	0	13216	421		
r000002906	0	11338	171		
r000002908	8102	10888	421		
r000002912	0	12985	421		
r000002914	0	2408	421		
r000002919	0	17636	421		
r000002921	0	8607	421		
r000002923	1	10578	421		
r000002927	0	11695	171		
r000002928	0	15658	171		
r000002932	4242	11576	421		
r000002935	7317	11414	421		
r000002942	0	12673	171		
r000002943	0	12503	171		
r000002944	0	13346	421		
r000002945	0	12173	421		
r000002949	3796	11078	61		
r000002952	0	13999	421		
r000002953	5819	10698	61		
r000002956	0	5739	171		
r000002958	0	13090	171		
r000002959	0	14404	171		
r000002963	10073	13500	171		
r000002964	0	12049	421		
r000002965	4182	11716	171		
r000002969	0	4848	61		
r000002972	0	11402	171		
r000002975	523	13351	171		
r000002982	0	905	61		
r000002987	11745	20018	421		
r000002989	0	2318	171		
r000002990	0	6101	171		
r000002994	1002	14682	171		
r000002995	15840	17313	171		
r000002996	0	10444	171		
r000002998	0	8953	421		
r000003004	0	15330	171		
r000003008	11839	16808	61		
r000003011	0	11038	171		
r000003015	0	14931	171		
r000003016	0	14190	171		
r000003018	0	12958	171		
r000003021	0	8143	421		
r000003022	6814	11012	61		
r000003023	0	15798	171		
r000003029	4567	7988	171		
r000003031	0	10564	171		
r000003039	0	1485	171		
r000003040	0	14607	171		
r000003042	0	17303	421		
r000003046	0	20594	171		
r000003049	0	16213	171		
r000003050	0	14190	171		
r000003051	0	19566	171		
r000003053	0	11125	421		
r000003056	0	11772	171		
r000003061	11061	12281	61		
r000003072	0	14989	171		
r000003074	0	9398	171		
r000003086	5	15913	171		
r000003088	0	16453	421		
r000003089	0	963	61		
r000003090	0	14604	171		
r000003093	10100	10884	171		
r000003097	0	14800	171		
r000003101	0	11789	171		
r000003102	8914	18811	171		
r000003106	0	9246	171		
r000003107	0	19240	421		
r000003108	6667	11548	61		
r000003110	0	15283	421		
r000003112	0	10973	171		
r000003120	0	10931	421		
r000003123	0	13109	171		
r000003125	11524	16971	421		
r000003130	0	11200	171		
r000003133	0	15657	171		
r000003135	0	11576	171		
r000003141	8823	12118	171		
r000003143	0	13788	171		
r000003144	0	12939	171		
r000003146	8090	12337	171		
r000003151	0	13469	171		
r000003152	0	16100	171		
r000003153	0	13186	171		
r000003154	0	16767	171		
r000003161	5668	9095	171		
r000003164	0	13604	171		
r000003174	0	11485	171		
r000003175	0	16783	171		
r000003176	0	16843	171		
r000003178	0	16005	421		
r000003181	0	11369	171		
r000003188	0	4542	421		
r000003190	799	5680	61		
r000003191	0	11706	421		
r000003192	0	16937	421		
r000003194	13802	18702	421		
r000003195	0	15882	421		
r000003196	0	10051	421		
r000003201	5038	6265	61		
r000003202	0	11659	171		
r000003204	0	12273	171		
r000003215	0	5102	171		
r000003220	0	1440	61		
r000003222	0	10790	171		
r000003224	0	11519	421		
r000003225	0	12161	171		
r000003227	0	13518	171		
r000003228	0	14043	171		
r000003234	0	19867	171		
r000003238	11462	17686	171		
r000003243	0	12646	421		
r000003250	13665	16054	171		
r000003253	0	14826	171		
r000003264	0	17514	171		
r000003265	10613	11843	61		
r000003272	0	14574	421		
r000003276	0	12526	171		
r000003280	0	10579	171		
r000003282	1370	6250	61		
r000003283	0	14103	421		
r000003286	3934	7354	171		
r000003292	0	15857	421		
r000003300	1	13076	171		
r000003306	0	10315	421		
r000003308	0	8453	61		
r000003309	1	14787	171		
r000003310	0	20507	171		
r000003314	0	13989	171		
r000003315	0	16024	171		
r000003318	0	7870	171		
r000003320	0	14336	421		
r000003324	0	13722	421		
r000003331	0	3147	171		
r000003333	0	11620	171		
r000003334	0	7498	421		
r000003338	0	6188	61		
r000003341	8814	12185	171		
r000003345	9877	12997	421		
r000003350	0	12160	421		
r000003353	4954	8374	171		
r000003356	0	14073	421		
r000003365	0	8297	171		
r000003367	0	13095	171		
r000003368	0	5964	421		
r000003370	9247	13062	421		
r000003373	1237	13052	171		
r000003374	6680	13410	171		
r000003376	7969	12097	171		
r000003377	0	8734	171		
r000003387	0	16811	171		
r000003388	0	9897	421		
r000003389	13916	15138	61		
r000003391	8343	16494	61		
r000003394	0	18922	421		
r000003395	0	14832	171		
r000003404	0	14230	421		
r000003405	0	13570	421		
r000003408	0	12106	171		
r000003409	0	15213	171		
r000003415	0	15163	171		
r000003417	0	14402	421		
r000003418	0	21636	171		
r000003420	9654	12335	421		
r000003422	0	13841	171		
r000003425	3299	14572	421		
r000003426	0	17053	171		
r000003428	9228	10475	61		
r000003429	0	15245	171		
r000003430	7908	11335	171		
