seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	f3	200	162.6805	-0.18659750000000003	0.18659750000000003	154.4764	171.2848	False	0.0840419999999999	205.68181980668373	0.02840909903341867	-0.2150065990334187	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	f1	20	11.8058	-0.40971	0.40971	11.0054	14.4071	False	0.170085	20.190318130173672	0.009515906508683614	-0.41922590650868363	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	f2	80	51.4254	-0.35718249999999996	0.35718249999999996	48.8242	56.0277	False	0.09004375000000006	78.48327832783278	-0.018959020902090274	-0.3382234790979097	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	f3	200	134.6666	-0.32666700000000004	0.32666700000000004	126.0624	142.4705	False	0.08204049999999995	205.68181980668373	0.02840909903341867	-0.35507609903341875	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0	5000	f1	20	15.8578	-0.20711000000000004	0.20711000000000004	13.8068	19.0594	False	0.26263	21.400753124492777	0.07003765622463884	-0.2771476562246389	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0	5000	f2	80	60.1298	-0.24837749999999997	0.24837749999999997	57.4284	63.7315	False	0.07878874999999992	74.2112814834115	-0.07235898145735628	-0.17601851854264366	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0	5000	f3	200	160.8796	-0.19560199999999994	0.19560199999999994	153.2258	168.5334	False	0.07653800000000004	199.5018022859293	-0.002490988570353494	-0.19311101142964646	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0.001	5000	f1	20	15.5077	-0.224615	0.224615	13.6568	18.5592	False	0.24512	21.400753124492777	0.07003765622463884	-0.2946526562246389	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0.001	5000	f2	80	58.7791	-0.26526125	0.26526125	56.2778	62.5309	False	0.07816375000000005	74.2112814834115	-0.07235898145735628	-0.19290226854264372	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0.001	5000	f3	200	157.2278	-0.213861	0.213861	149.8742	164.7315	False	0.07428650000000005	199.5018022859293	-0.002490988570353494	-0.2113700114296465	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0.01	5000	f1	20	12.5562	-0.37218999999999997	0.37218999999999997	11.1055	15.4076	False	0.21510500000000005	21.400753124492777	0.07003765622463884	-0.44222765622463883	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	20	0.01	5000	f2	80	48.7241	-0.39094875	0.39094875	46.423	52.0257	False	0.07003374999999998	74.2112814834115	-0.07235898145735628	-0.3185897685426437	diagnostic_kmer_10_90_spread_not_sampling_CI
