panel	dataset	metric	x	value	read_count
A	Full library (n=933,904)	length_bp	0.808	0.0007548955781322277	1
A	Full library (n=933,904)	length_bp	0.809	0.0007570371258716099	2
A	Full library (n=933,904)	length_bp	0.81	0.0007613202213503743	4
A	Full library (n=933,904)	length_bp	0.811	0.0007634617690897565	2
A	Full library (n=933,904)	length_bp	0.8140000000000001	0.0007656033168291388	2
A	Full library (n=933,904)	length_bp	0.8160000000000001	0.0007688156384382121	3
A	Full library (n=933,904)	length_bp	0.8170000000000001	0.0007698864123079032	1
A	Full library (n=933,904)	length_bp	0.8210000000000001	0.0007709571861775942	1
A	Full library (n=933,904)	length_bp	0.8250000000000001	0.0007720279600472854	1
A	Full library (n=933,904)	length_bp	0.833	0.0007730987339169765	1
A	Full library (n=933,904)	length_bp	0.846	0.0007741695077866675	1
A	Full library (n=933,904)	length_bp	0.848	0.0007752402816563587	1
A	Full library (n=933,904)	length_bp	0.852	0.0007773818293957408	2
A	Full library (n=933,904)	length_bp	0.854	0.000778452603265432	1
A	Full library (n=933,904)	length_bp	0.859	0.0007795233771351231	1
A	Full library (n=933,904)	length_bp	0.866	0.0007805941510048142	1
A	Full library (n=933,904)	length_bp	0.867	0.0007816649248745053	1
A	Full library (n=933,904)	length_bp	0.868	0.0007827356987441964	1
A	Full library (n=933,904)	length_bp	0.873	0.0007838064726138875	1
A	Full library (n=933,904)	length_bp	0.886	0.0007848772464835786	1
A	Full library (n=933,904)	length_bp	0.889	0.0007859480203532697	1
A	Full library (n=933,904)	length_bp	0.899	0.0007880895680926519	2
A	Full library (n=933,904)	length_bp	0.901	0.000789160341962343	1
A	Full library (n=933,904)	length_bp	0.902	0.0007902311158320341	1
A	Full library (n=933,904)	length_bp	0.903	0.0007913018897017253	1
A	Full library (n=933,904)	length_bp	0.912	0.0007923726635714163	1
A	Full library (n=933,904)	length_bp	0.92	0.0007945142113107986	2
A	Full library (n=933,904)	length_bp	0.924	0.0007955849851804896	1
A	Full library (n=933,904)	length_bp	0.932	0.0007966557590501807	1
A	Full library (n=933,904)	length_bp	0.9400000000000001	0.0007977265329198719	1
A	Full library (n=933,904)	length_bp	0.9420000000000001	0.0008009388545289452	3
A	Full library (n=933,904)	length_bp	0.9440000000000001	0.0008020096283986363	1
A	Full library (n=933,904)	length_bp	0.9460000000000001	0.0008041511761380185	2
A	Full library (n=933,904)	length_bp	0.9550000000000001	0.0008052219500077096	1
A	Full library (n=933,904)	length_bp	0.9590000000000001	0.0008062927238774006	1
A	Full library (n=933,904)	length_bp	0.97	0.0008073634977470918	1
A	Full library (n=933,904)	length_bp	0.971	0.0008084342716167829	1
A	Full library (n=933,904)	length_bp	0.978	0.0008095050454864739	1
A	Full library (n=933,904)	length_bp	0.98	0.0008105758193561651	1
A	Full library (n=933,904)	length_bp	0.981	0.0008116465932258562	1
A	Full library (n=933,904)	length_bp	0.983	0.0008127173670955473	1
A	Full library (n=933,904)	length_bp	0.984	0.0008137881409652384	1
A	Full library (n=933,904)	length_bp	0.985	0.0008159296887046206	2
A	Full library (n=933,904)	length_bp	0.995	0.0008170004625743117	1
A	Full library (n=933,904)	length_bp	1.002	0.0008180712364440028	1
A	Full library (n=933,904)	length_bp	1.004	0.0008191420103136939	1
A	Full library (n=933,904)	length_bp	1.014	0.000820212784183385	1
A	Full library (n=933,904)	length_bp	1.0150000000000001	0.0008212835580530761	1
A	Full library (n=933,904)	length_bp	1.0210000000000001	0.0008223543319227672	1
A	Full library (n=933,904)	length_bp	1.022	0.0008234251057924584	1
A	Full library (n=933,904)	length_bp	1.032	0.0008244958796621494	1
A	Full library (n=933,904)	length_bp	1.035	0.0008255666535318405	1
A	Full library (n=933,904)	length_bp	1.036	0.0008266374274015317	1
A	Full library (n=933,904)	length_bp	1.055	0.0008277082012712227	1
A	Full library (n=933,904)	length_bp	1.063	0.0008287789751409138	1
A	Full library (n=933,904)	length_bp	1.065	0.000829849749010605	1
A	Full library (n=933,904)	length_bp	1.066	0.0008309205228802961	1
A	Full library (n=933,904)	length_bp	1.083	0.0008330620706196783	2
A	Full library (n=933,904)	length_bp	1.087	0.0008341328444893694	1
A	Full library (n=933,904)	length_bp	1.09	0.0008352036183590604	1
A	Full library (n=933,904)	length_bp	1.1	0.0008362743922287516	1
A	Full library (n=933,904)	length_bp	1.101	0.0008373451660984427	1
A	Full library (n=933,904)	length_bp	1.113	0.0008384159399681337	1
A	Full library (n=933,904)	length_bp	1.114	0.0008394867138378249	1
A	Full library (n=933,904)	length_bp	1.118	0.000840557487707516	1
A	Full library (n=933,904)	length_bp	1.121	0.0008416282615772071	1
A	Full library (n=933,904)	length_bp	1.124	0.0008426990354468982	1
A	Full library (n=933,904)	length_bp	1.127	0.0008437698093165893	1
A	Full library (n=933,904)	length_bp	1.133	0.0008448405831862804	1
A	Full library (n=933,904)	length_bp	1.137	0.0008459113570559715	1
A	Full library (n=933,904)	length_bp	1.154	0.0008469821309256626	1
A	Full library (n=933,904)	length_bp	1.159	0.0008480529047953537	1
A	Full library (n=933,904)	length_bp	1.16	0.0008491236786650448	1
A	Full library (n=933,904)	length_bp	1.163	0.0008501944525347359	1
A	Full library (n=933,904)	length_bp	1.165	0.000851265226404427	1
A	Full library (n=933,904)	length_bp	1.183	0.0008534067741438092	2
A	Full library (n=933,904)	length_bp	1.186	0.0008544775480135003	1
A	Full library (n=933,904)	length_bp	1.192	0.0008566190957528825	2
A	Full library (n=933,904)	length_bp	1.205	0.0008576898696225736	1
A	Full library (n=933,904)	length_bp	1.209	0.0008598314173619558	2
A	Full library (n=933,904)	length_bp	1.224	0.0008609021912316469	1
A	Full library (n=933,904)	length_bp	1.229	0.0008619729651013381	1
A	Full library (n=933,904)	length_bp	1.23	0.0008630437389710292	1
A	Full library (n=933,904)	length_bp	1.235	0.0008641145128407202	1
A	Full library (n=933,904)	length_bp	1.236	0.0008651852867104114	1
A	Full library (n=933,904)	length_bp	1.238	0.0008662560605801025	1
A	Full library (n=933,904)	length_bp	1.239	0.0008673268344497935	1
A	Full library (n=933,904)	length_bp	1.244	0.0008705391560588668	3
