family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000563	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000564	796.7321	0.0	0.0	0.0	0.0	0.0	NA	796.7321	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000565	12324.9167	0.0	3009.0	3009.0	0.0	0.24413958108130662	0.0	12324.9167	3009.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000566	545.246	0.0	0.0	0.0	0.0	0.0	NA	545.246	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000567	15603.466	0.0	1642.0	1642.0	0.0	0.10523302963585142	0.0	15603.466	1642.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000568	1122.853	2957.0	2957.0	2957.0	2.6334702761625963	2.6334702761625963	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000569	48022.1311	0.0	1276.0	1276.0	0.0	0.02657108234832169	0.0	48022.1311	1276.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000570	5635.4266	0.0	994.0	994.0	0.0	0.1763841622921679	0.0	5635.4266	994.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000571	4.8532	0.0	0.0	0.0	0.0	0.0	NA	4.8532	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000572	16042.7869	0.0	12287.0	12287.0	0.0	0.7658893729991515	0.0	16042.7869	12287.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000573	9824.291	773.0	773.0	773.0	0.07868252273879103	0.07868252273879103	1.0	9051.291	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
