tandemx_length_bp	recurrent_exact_unmatched_query_count	direct_length_eligible_pair_count	integer_multiple_length_eligible_pair_count	length_eligible_pair_union_count
440	4	170108	1839760	2009868
441	1	42619	472782	515401
443	3	127593	1358184	1485777
444	2	84772	903850	988622
445	2	84444	927174	1011618
446	1	42103	458490	500593
447	2	83764	934842	1018606
448	3	124230	1370226	1494456
449	2	81574	914834	996408
452	2	80532	915632	996164
453	1	39860	466924	506784
454	2	78894	867340	946234
459	1	34362	468443	502805
460	1	34642	462328	496970
461	1	33685	465545	499230
462	2	66018	960634	1026652
465	3	94065	1387950	1482015
466	1	30856	483093	513949
467	2	60120	948268	1008388
468	2	59370	961498	1020868
471	1	29197	472337	501534
473	2	57682	945580	1003262
474	1	28738	478939	507677
475	1	28672	493912	522584
476	3	85752	1482711	1568463
477	1	28751	494129	522880
478	1	28685	471699	500384
479	5	142855	2475565	2618420
480	1	28772	501959	530731
482	1	28591	489206	517797
483	2	57044	984414	1041458
485	1	28386	492777	521163
487	2	56988	995264	1052252
488	1	28440	494046	522486
489	2	56636	973618	1030254
493	3	87033	1431249	1518282
494	1	28846	498757	527603
495	1	29258	497440	526698
496	1	29388	497578	526966
497	1	30262	497299	527561
498	1	30349	494533	524882
501	1	30493	479303	509796
502	1	30430	491746	522176
504	1	30436	502729	533165
505	2	60448	966610	1027058
506	1	29527	488982	518509
509	3	86832	1449858	1536690
510	1	29112	488164	517276
515	1	26952	482236	509188
520	1	26876	500944	527820
521	1	26782	489308	516090
523	1	26866	504963	531829
524	3	80433	1514172	1594605
525	2	53556	1091880	1145436
527	2	53524	1083546	1137070
531	2	53912	1038918	1092830
534	1	26899	542522	569421
535	2	53732	1085044	1138776
537	1	26802	532161	558963
538	1	26800	521620	548420
542	2	54228	1081142	1135370
543	1	27118	540571	567689
546	1	26893	543949	570842
551	1	26893	566932	593825
552	1	26796	563359	590155
554	3	80517	1702929	1783446
556	1	26764	574145	600909
559	1	26766	562238	589004
560	1	26970	562238	589208
562	2	53646	1139572	1193218
564	1	26966	566700	593666
565	1	27116	577373	604489
566	2	54272	1156202	1210474
568	1	27225	557647	584872
569	1	27164	558102	585266
571	2	54694	1164692	1219386
573	2	54696	1165908	1220604
577	1	28095	543883	571978
579	1	28245	548823	577068
580	2	58340	1045924	1104264
582	1	29329	534706	564035
584	2	58702	1056614	1115316
587	2	59058	1044490	1103548
588	1	29506	528922	558428
590	1	29655	533563	563218
597	2	59350	1032790	1092140
599	1	29641	534029	563670
602	1	29860	535020	564880
604	1	30116	530602	560718
605	1	30047	500189	530236
607	2	58414	1030638	1089052
608	1	29005	539482	568487
614	1	27536	547758	575294
617	2	54666	1121942	1176608
621	1	27552	568305	595857
622	1	27529	565589	593118
623	1	27476	567850	595326
624	1	27432	563392	590824
629	1	27217	582880	610097
634	1	27607	576604	604211
635	2	55162	1154106	1209268
636	1	27539	575598	603137
637	2	54958	1150732	1205690
642	1	27717	586201	613918
643	1	27644	571630	599274
645	1	27501	574554	602055
649	2	54984	1140688	1195672
651	1	27559	580308	607867
652	1	27543	578602	606145
662	1	29514	569081	598595
666	1	30862	577872	608734
669	1	30741	568401	599142
670	1	30915	569855	600770
671	1	30848	560336	591184
676	1	30893	574542	605435
678	2	61680	1104914	1166594
681	1	30953	541374	572327
688	1	30700	567642	598342
693	2	61698	1171426	1233124
695	1	30733	586624	617357
700	1	30410	611958	642368
702	1	30467	619330	649797
709	2	59134	1241340	1300474
712	1	29673	625081	654754
716	1	28469	630167	658636
717	1	28300	630061	658361
726	1	28079	641087	669166
728	1	27979	637008	664987
729	1	28073	636590	664663
732	1	28116	651820	679936
733	1	28078	652183	680261
734	3	84162	1960884	2045046
740	1	29216	651879	681095
749	1	30488	653568	684056
753	1	30856	657215	688071
761	1	31606	652145	683751
769	1	31885	622438	654323
775	1	32789	597310	630099
776	1	32877	608549	641426
779	1	33241	634012	667253
781	1	34008	635119	669127
783	2	69088	1257852	1326940
785	1	34410	630552	664962
791	1	34349	654795	689144
801	1	35010	663311	698321
808	1	35629	656217	691846
819	1	33419	656547	689966
825	1	33385	659259	692644
828	1	33842	660565	694407
