stage	elapsed_seconds	rss_mib	process_count	scratch_bytes
smoke	3824.515520	21.906250	1	2607880
smoke	3824.743387	21.906250	1	2607880
smoke	3824.975431	21.906250	1	2607880
smoke	3825.206198	21.906250	1	2607880
smoke	3825.436751	21.906250	1	2607880
smoke	3825.677401	21.906250	1	2607880
smoke	3825.910645	21.906250	1	2607880
smoke	3826.146923	21.906250	1	2607880
smoke	3826.378334	21.906250	1	2607880
smoke	3826.609602	21.906250	1	2607880
smoke	3826.844719	21.906250	1	2607880
smoke	3827.077620	21.906250	1	2607880
smoke	3827.306424	21.906250	1	2607880
smoke	3827.536956	21.906250	1	2607880
smoke	3827.775445	21.906250	1	2607880
smoke	3828.008451	21.906250	1	2607880
smoke	3828.238421	21.906250	1	2607880
smoke	3828.470107	21.906250	1	2607880
smoke	3828.704331	21.906250	1	2607880
smoke	3828.937780	21.906250	1	2607880
smoke	3829.168620	21.906250	1	2607880
smoke	3829.401255	21.906250	1	2607880
smoke	3829.628459	21.906250	1	2607880
smoke	3829.859993	21.906250	1	2607880
smoke	3830.091848	21.906250	1	2607880
smoke	3830.325469	21.906250	1	2607880
smoke	3830.557757	21.906250	1	2607880
smoke	3830.788027	21.906250	1	2607880
smoke	3831.020311	21.906250	1	2607880
smoke	3831.257198	21.906250	1	2607880
smoke	3831.496738	21.906250	1	2607880
smoke	3831.730053	21.906250	1	2607880
smoke	3831.961698	21.906250	1	2607880
smoke	3832.193007	21.906250	1	2607880
smoke	3832.421413	21.906250	1	2607880
smoke	3832.654929	21.906250	1	2607880
smoke	3832.886753	21.906250	1	2607880
smoke	3833.119452	21.906250	1	2607880
smoke	3833.352667	21.906250	1	2607880
smoke	3833.584346	21.906250	1	2607880
smoke	3833.811529	21.906250	1	2607880
smoke	3834.044947	21.906250	1	2607880
smoke	3834.278570	21.906250	1	2607880
smoke	3834.510392	21.906250	1	2607880
smoke	3834.741010	21.906250	1	2607880
smoke	3834.975570	21.906250	1	2607880
smoke	3835.202293	21.906250	1	2607880
smoke	3835.434769	21.906250	1	2607880
smoke	3835.668594	21.906250	1	2607880
smoke	3835.900007	21.906250	1	2607880
smoke	3836.141020	21.906250	1	2607880
smoke	3836.370423	21.906250	1	2607880
smoke	3836.596563	21.906250	1	2607880
smoke	3836.826231	21.906250	1	2607880
smoke	3837.055882	21.906250	1	2607880
smoke	3837.287325	21.906250	1	2607880
smoke	3837.519492	21.906250	1	2607880
smoke	3837.750913	21.906250	1	2607880
smoke	3837.981717	21.906250	1	2607880
smoke	3838.214056	21.906250	1	2607880
smoke	3838.446374	21.906250	1	2607880
smoke	3838.677438	21.906250	1	2607880
smoke	3838.906722	21.906250	1	2607880
smoke	3839.134964	21.906250	1	2607880
smoke	3839.367210	21.906250	1	2607880
smoke	3839.596162	21.906250	1	2607880
smoke	3839.827315	21.906250	1	2607880
smoke	3840.056966	21.906250	1	2607880
smoke	3840.291202	21.906250	1	2607880
smoke	3840.523128	21.906250	1	2607880
smoke	3840.753550	21.906250	1	2607880
smoke	3840.984277	21.906250	1	2607880
smoke	3841.219556	21.906250	1	2607880
smoke	3841.449005	21.906250	1	2607880
smoke	3841.677354	21.906250	1	2607880
smoke	3841.908087	21.906250	1	2607880
smoke	3842.137684	21.906250	1	2607880
smoke	3842.368294	21.906250	1	2607880
smoke	3842.598911	21.906250	1	2607880
smoke	3842.829368	21.906250	1	2607880
smoke	3843.059846	21.906250	1	2607880
smoke	3843.291294	21.906250	1	2607880
smoke	3843.522640	21.906250	1	2607880
smoke	3843.753902	21.906250	1	2607880
smoke	3843.984293	21.906250	1	2607880
smoke	3844.214319	21.906250	1	2607880
