seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.5	f2	0.5	True	0.712	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.5	f3	0.5	True	0.7325	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.25	f1	0.25	True	0.4249	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.25	f2	0.25	True	0.356	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.25	f3	0.25	True	0.3661	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	1	f1	1.0	False	0.584	possible_collapse	True	FP
5501	0.01	3	500	iid_base	0.9	1	0	5000	1	f2	1.0	False	1.1306	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0	5000	1	f3	1.0	False	1.5708	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.75	f1	0.75	False	0.438	possible_collapse	True	FP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.75	f2	0.75	False	0.8483	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.75	f3	0.75	False	1.1777	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.5	f1	0.5	True	0.292	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.5	f2	0.5	True	0.5656	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.5	f3	0.5	True	0.7854	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.25	f1	0.25	True	0.1398	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.25	f2	0.25	True	0.2811	possible_collapse	True	TP
