family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	normalization_method	raw_median_kmer_depth	kmer_survival_probability	single_copy_control_kmer_count	single_copy_control_mean_depth	single_copy_control_median_depth	single_copy_control_depth_mad	single_copy_control_zero_fraction	quality_window_count	confidence	warning
TXF000055	30	30	2425.1067	130.2179	18.6234	558.7034	32.0614	9.4812	18.9173	total_read_bases_divided_by_genome_size	2307.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000056	45	38	3503.6327	130.2179	26.9059	1210.7662	890.8877	16.6465	70.1524	total_read_bases_divided_by_genome_size	3333.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000057	328	201	776.8331	130.2179	5.9656	1956.7293	569.7477	2.2765	14.9262	total_read_bases_divided_by_genome_size	739.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000058	112	20	0.0000	130.2179	0.0000	0.0000	0.0000	0.0000	0.0129	total_read_bases_divided_by_genome_size	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000059	35	35	2.1024	130.2179	0.0161	0.5651	2.1024	0.0000	14.5646	total_read_bases_divided_by_genome_size	2.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000060	66	34	889.8365	130.2179	6.8334	451.0071	9.4608	6.7592	17.4424	total_read_bases_divided_by_genome_size	846.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000061	356	30	18240.8601	130.2179	140.0795	49868.2945	1672.4511	118.9979	550.8851	total_read_bases_divided_by_genome_size	17352.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000062	82	23	67967.1107	130.2179	521.9489	42799.8125	771.5771	260.0017	534.9490	total_read_bases_divided_by_genome_size	64657.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000063	42	42	1376.5398	130.2179	10.5710	443.9839	501.9456	6.0246	16.8225	total_read_bases_divided_by_genome_size	1309.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000064	227	182	1095.3451	130.2179	8.4116	1909.4401	166.0888	0.5974	10.7123	total_read_bases_divided_by_genome_size	1042.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
