scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
divergent_units	divergent_units_s3102	tidehunter	3102	heldout	3	3	True	0.3299018330872059	66.359375	0.9428571428571428	0.46808510638297873	0.6255924170616114	1.0	1.0	0.0	1.0	0.030303030303030304	223.57575757575756	1.0	0.7790697674418605	1.0	0.9802353104984683	0.9908236867105309	0.9855010586361966	0.20036350949851445
divergent_units	divergent_units_s3102	trf	3102	heldout	3	3	True	1.2923765839077532	38.375	1.0	0.958904109589041	0.9790209790209791	1.0	1.0	0.0	1.0	0.0	2.4857142857142858	1.0	0.8636363636363636	1.0	0.9979044834307992	0.9996722134657497	0.9987875662831939	0.04117851602204033
divergent_units	divergent_units_s3103	tandemx	3103	heldout	3	3	True	1.2744143749587238	29.890625	0.9857142857142858	0.9857142857142858	0.9857142857142858	1.0	1.0	0.0	1.0	0.0	2.347826086956522	1.0	0.75	1.0	0.9985797827903091	0.9990249066696384	0.9988022951367612	0.0
divergent_units	divergent_units_s3103	tidehunter	3103	heldout	3	3	True	0.3432165840640664	78.03125	0.9285714285714286	0.42483660130718953	0.5829596412556054	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	262.66923076923075	1.0	0.73	1.0	0.9778891673628516	0.9795053102096888	0.978696571593803	0.20476576017035625
divergent_units	divergent_units_s3103	trf	3103	heldout	3	3	True	1.2376514580100775	38.390625	1.0	0.9722222222222222	0.9859154929577465	1.0	1.0	0.0	1.0	0.0	3.5	1.0	0.8888888888888888	1.0	0.9977373990531885	0.9997697909981305	0.9987525610826934	0.026320615664671962
indel_01pct	indel_01pct_s3101	tandemx	3101	heldout	3	3	True	1.0974947500508279	29.703125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.4928571428571429	1.0	1.0	1.0	1.0	0.9985472390591114	0.9992730915174302	0.0
indel_01pct	indel_01pct_s3101	tidehunter	3101	heldout	3	3	True	0.25497662485577166	65.609375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	0.4357142857142857	1.0	1.0	1.0	0.9998329330688107	0.9997424617868975	0.9997876953811564	0.0
indel_01pct	indel_01pct_s3101	trf	3101	heldout	3	3	True	1.0713738340418786	38.265625	1.0	0.8433734939759037	0.9150326797385621	1.0	1.0	0.0	1.0	0.0	0.42857142857142855	1.0	0.23076923076923078	1.0	1.0	0.9995825070451936	0.999791209938407	0.15665160495276098
indel_01pct	indel_01pct_s3102	tandemx	3102	heldout	3	3	True	1.0980970410164446	30.015625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3857142857142857	1.0	1.0	1.0	1.0	0.9986511666713018	0.9993251281908565	0.0
indel_01pct	indel_01pct_s3102	tidehunter	3102	heldout	3	3	True	0.2664750418625772	69.703125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.957142857142857	1.0	1.0	1.0	0.9997911358035005	0.9983037650853679	0.999046896849194	0.0
indel_01pct	indel_01pct_s3102	trf	3102	heldout	3	3	True	1.0644995421171188	38.234375	1.0	0.8536585365853658	0.9210526315789473	1.0	1.0	0.0	1.0	0.0	0.55	1.0	0.23076923076923078	1.0	0.9999860757202333	0.9994781047548136	0.9997320257116109	0.14632378712003755
indel_01pct	indel_01pct_s3103	tandemx	3103	heldout	3	3	True	1.0880403749179095	29.734375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.257142857142857	1.0	1.0	1.0	1.0	0.9978052049980205	0.9989013968947079	0.0
indel_01pct	indel_01pct_s3103	tidehunter	3103	heldout	3	3	True	0.28375245817005634	71.6875	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	0.7285714285714285	1.0	0.75	1.0	0.9997354884067353	0.9880843452237625	0.9938757715835802	0.0
indel_01pct	indel_01pct_s3103	trf	3103	heldout	3	3	True	1.1071149578783661	38.296875	1.0	0.7070707070707071	0.8284023668639053	1.0	1.0	0.0	1.0	0.0	0.6714285714285714	1.0	0.16666666666666666	1.0	0.9999791175057949	0.9993669521179278	0.9996729410946035	0.29304349964344556
indel_1pct	indel_1pct_s3101	tandemx	3101	heldout	3	3	True	1.1169592500664294	29.59375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	1.5928571428571427	1.0	1.0	1.0	0.999965194873901	0.9984847431709182	0.9992244206631029	0.0
indel_1pct	indel_1pct_s3101	tidehunter	3101	heldout	3	3	True	0.28023799997754395	55.875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5142857142857142	1.0	1.0	1.0	0.9998120523190656	0.9996867931094484	0.9997494187908065	0.0
indel_1pct	indel_1pct_s3101	trf	3101	heldout	3	3	True	1.134809167124331	38.4375	1.0	0.5072463768115942	0.6730769230769231	1.0	1.0	0.0	1.0	0.4	0.5357142857142857	1.0	0.13636363636363635	1.0	0.9999582338486812	0.9995198998051767	0.9997390187802085	0.49268072278524355
indel_1pct	indel_1pct_s3102	tandemx	3102	heldout	3	3	True	1.09961949987337	29.671875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.5285714285714285	1.0	1.0	1.0	0.9999303839326117	0.9985817476484125	0.9992556107470328	0.0
indel_1pct	indel_1pct_s3102	tidehunter	3102	heldout	3	3	True	0.2960473340936005	68.28125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.9285714285714286	1.0	1.0	1.0	0.999791151797835	0.999304178408656	0.9995476057906458	0.0
indel_1pct	indel_1pct_s3102	trf	3102	heldout	3	3	True	1.1064682498108596	38.328125	1.0	0.546875	0.7070707070707071	1.0	1.0	0.0	1.0	0.34285714285714286	0.38571428571428573	1.0	0.14285714285714285	1.0	0.9999234223258728	0.999700717581798	0.9998120575521541	0.45316526034946697
indel_1pct	indel_1pct_s3103	tandemx	3103	heldout	3	3	True	1.124078709166497	29.734375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	1.9928571428571429	1.0	1.0	1.0	0.9999581998049324	0.9981016223132393	0.9990290485023334	0.0
indel_1pct	indel_1pct_s3103	tidehunter	3103	heldout	3	3	True	0.2868277500383556	61.421875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.1357142857142857	1.0	1.0	1.0	0.9998397659189077	0.9980805741586865	0.9989593955445424	0.0
indel_1pct	indel_1pct_s3103	trf	3103	heldout	3	3	True	1.1679105409421027	39.140625	1.0	0.5147058823529411	0.6796116504854369	1.0	1.0	0.0	1.0	0.35714285714285715	0.5571428571428572	1.0	0.125	1.0	0.9999512331057545	0.9995055848026517	0.9997283592901123	0.48523681673005437
indel_4pct	indel_4pct_s3101	tandemx	3101	heldout	3	3	True	1.1096985421609133	29.328125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.08571428571428572	1.3071428571428572	1.0	1.0	1.0	0.9997842562757066	0.9989430498574507	0.9993634760468733	0.0
indel_4pct	indel_4pct_s3101	tidehunter	3101	heldout	3	3	True	0.2747959999833256	60.765625	1.0	0.9333333333333333	0.9655172413793104	1.0	1.0	0.0	1.0	0.04285714285714286	0.8571428571428571	1.0	0.5454545454545454	1.0	0.9995615530764359	0.9950602401291404	0.9973058174899663	0.051056835738470134
indel_4pct	indel_4pct_s3101	trf	3101	heldout	3	3	True	1.2888755830936134	38.53125	0.9857142857142858	0.5655737704918032	0.71875	1.0	1.0	0.0	1.0	1.1304347826086956	0.7681159420289855	1.0	0.1	1.0	0.9996937831010029	0.9995477002296291	0.9996207363282406	0.42606910653524815
indel_4pct	indel_4pct_s3102	tandemx	3102	heldout	3	3	True	1.0702513339929283	29.09375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.11428571428571428	1.0857142857142856	1.0	1.0	1.0	0.999825848292965	0.9991159374891232	0.9994707668310074	0.0
indel_4pct	indel_4pct_s3102	tidehunter	3102	heldout	3	3	True	0.2918552078772336	64.453125	1.0	0.9210526315789473	0.958904109589041	1.0	1.0	0.0	1.0	0.014285714285714285	1.7857142857142858	1.0	0.4	1.0	0.9995541716299903	0.9987262653822596	0.9991400470014796	0.07659875313323479
indel_4pct	indel_4pct_s3102	trf	3102	heldout	3	3	True	1.2473148328717798	42.359375	0.9714285714285714	0.5354330708661418	0.6903553299492385	1.0	1.0	0.0	1.0	1.1911764705882353	0.6691176470588235	1.0	0.08108108108108109	1.0	0.999686526927337	0.9996168929320228	0.9996517087170342	0.4487124348153325
indel_4pct	indel_4pct_s3103	tandemx	3103	heldout	3	3	True	1.0916065408382565	29.484375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.1	2.0642857142857145	1.0	1.0	1.0	0.9995544819808845	0.9984354791605824	0.9989946672139759	0.0
indel_4pct	indel_4pct_s3103	tidehunter	3103	heldout	3	3	True	0.2835481660440564	78.375	1.0	0.958904109589041	0.9790209790209791	1.0	0.9859154929577465	0.03333333333333333	1.0	0.07142857142857142	0.85	1.0	0.75	1.0	0.9995196758856411	0.9852808981053874	0.9923492131507834	0.017866289257312307
indel_4pct	indel_4pct_s3103	trf	3103	heldout	3	3	True	1.3108027500566095	42.4375	1.0	0.56	0.717948717948718	1.0	1.0	0.0	1.0	1.1142857142857143	0.8285714285714286	1.0	0.08823529411764706	1.0	0.9996032105142253	0.9995892937941596	0.9995962521057541	0.43981703536458394
