panel	statistic	x	y	method	coverage	error	divergence	n	seed	status	family_id	condition_id
F	absolute_error_vs_source_oracle_percent	0.0008118212459901075	1.9642865960027753	NA	NA	NA	0	NA	6301	NA	f005	condition_009
F	absolute_error_vs_source_oracle_percent	0.0002329368129030951	1.6086624368937839	NA	NA	NA	0	NA	6301	NA	f007	condition_009
F	absolute_error_vs_source_oracle_percent	0.0009205686002627944	0.5140111812160519	NA	NA	NA	0	NA	6301	NA	f009	condition_009
F	absolute_error_vs_source_oracle_percent	0.0006059046590362049	0.5215701386018701	NA	NA	NA	0	NA	6301	NA	f011	condition_009
F	absolute_error_vs_source_oracle_percent	0.0006078953953674304	0.9768201525603503	NA	NA	NA	0	NA	6301	NA	f013	condition_009
F	absolute_error_vs_source_oracle_percent	0.00022037664890417474	1.1679413207189384	NA	NA	NA	0	NA	6301	NA	f015	condition_009
F	absolute_error_vs_source_oracle_percent	5.253679846461967e-05	1.9783691759331388	NA	NA	NA	0	NA	6301	NA	f017	condition_009
F	absolute_error_vs_source_oracle_percent	0.0008936803691134143	1.5434132086298646	NA	NA	NA	0	NA	6301	NA	f019	condition_009
F	absolute_error_vs_source_oracle_percent	0.0005173155081174552	2.027356988636271	NA	NA	NA	0	NA	6301	NA	f021	condition_009
F	absolute_error_vs_source_oracle_percent	0.00041221400795754537	1.4900632569646532	NA	NA	NA	0	NA	6301	NA	f023	condition_009
F	absolute_error_vs_source_oracle_percent	0.0002445975163417602	1.9889639249887914	NA	NA	NA	0	NA	6301	NA	f025	condition_009
F	absolute_error_vs_source_oracle_percent	0.00030226457823701036	1.21568299426281	NA	NA	NA	0	NA	6301	NA	f027	condition_009
F	absolute_error_vs_source_oracle_percent	0.00031422624401022947	1.4901558852600694	NA	NA	NA	0	NA	6301	NA	f029	condition_009
F	absolute_error_vs_source_oracle_percent	0.00027606359108162115	1.3704913474117149	NA	NA	NA	0	NA	6301	NA	f031	condition_009
F	absolute_error_vs_source_oracle_percent	0.0001643937814433949	1.1649181668221757	NA	NA	NA	0	NA	6301	NA	f033	condition_009
F	absolute_error_vs_source_oracle_percent	0.00017846508402874495	1.3490856657941919	NA	NA	NA	0	NA	6301	NA	f035	condition_009
F	absolute_error_vs_source_oracle_percent	0.0005902880096533281	1.8092022033907362	NA	NA	NA	0	NA	6301	NA	f037	condition_009
F	absolute_error_vs_source_oracle_percent	2.0169012239112938e-05	1.4165505148759472	NA	NA	NA	0	NA	6301	NA	f039	condition_009
F	absolute_error_vs_source_oracle_percent	0.00062591290788655	0.9388157376551298	NA	NA	NA	0	NA	6301	NA	f041	condition_009
F	absolute_error_vs_source_oracle_percent	0.00014011739246466703	1.3849456558325457	NA	NA	NA	0	NA	6301	NA	f043	condition_009
F	absolute_error_vs_source_oracle_percent	5.332190420609395e-05	1.6850859973474641	NA	NA	NA	0	NA	6301	NA	f045	condition_009
F	absolute_error_vs_source_oracle_percent	5.931860700547631e-05	1.5490977913227333	NA	NA	NA	0	NA	6301	NA	f047	condition_009
F	absolute_error_vs_source_oracle_percent	3.1325734070941635e-05	1.4785329644965373	NA	NA	NA	0	NA	6301	NA	f049	condition_009
F	absolute_error_vs_source_oracle_percent	0.00024246951037276698	1.0101210930487952	NA	NA	NA	0	NA	6301	NA	f051	condition_009
F	absolute_error_vs_source_oracle_percent	0.00011743528200258702	1.4069729317466653	NA	NA	NA	0	NA	6301	NA	f053	condition_009
F	absolute_error_vs_source_oracle_percent	1.496602783241513e-05	0.09943083655988617	NA	NA	NA	0	NA	6302	NA	f001	condition_007
F	absolute_error_vs_source_oracle_percent	0.0012786533850450352	0.41418635126748704	NA	NA	NA	0	NA	6302	NA	f003	condition_007
F	absolute_error_vs_source_oracle_percent	1.302335465228413e-05	0.2104398364040172	NA	NA	NA	0	NA	6302	NA	f005	condition_007
F	absolute_error_vs_source_oracle_percent	1.436702103126998e-06	0.040163003302318145	NA	NA	NA	0	NA	6302	NA	f007	condition_007
F	absolute_error_vs_source_oracle_percent	1.3028269873083947e-06	0.02417929382309225	NA	NA	NA	0	NA	6302	NA	f009	condition_007
F	absolute_error_vs_source_oracle_percent	1.1046116627101005e-06	0.02260908769191161	NA	NA	NA	0	NA	6302	NA	f011	condition_007
F	absolute_error_vs_source_oracle_percent	3.4570404683100225e-05	0.04466337228791417	NA	NA	NA	0	NA	6302	NA	f013	condition_007
F	absolute_error_vs_source_oracle_percent	3.4510472720792815e-07	0.008795734005161648	NA	NA	NA	0	NA	6302	NA	f015	condition_007
F	absolute_error_vs_source_oracle_percent	5.0271235138296374e-05	0.051887323189802714	NA	NA	NA	0	NA	6302	NA	f017	condition_007
F	absolute_error_vs_source_oracle_percent	0.000550256365376851	0.1418492064437782	NA	NA	NA	0	NA	6302	NA	f019	condition_007
